0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,"p884","〔セーラームーン〕","ムーンプリンセス
ハレーション！","(Sailor Moon)"
11,"p885","〔クインベリル〕","な……なんだと……負ける……のか？","(Queen Beryl)"
12,"p886","〔クインベリル〕","このわたしが二度も……！？","(Queen Beryl)"
13,"p879","〔クインベリル〕","うがあーっ！！","(Queen Beryl)"
14,"p887","〔マーキュリー〕","パスト・ワイズマン！
つぎはあなたの番よ！","(Mercury)"
15,,"〔パスト・ワイズマン〕","……","(Past Wiseman)"
16,"p888","〔ヴィーナス〕","なんとかおっしゃい！","(Venus)"
17,"p889","〔パスト・ワイズマン〕","……ムダだ","(Past Wiseman)"
18,"p890","〔セーラームーン〕","！？","(Sailor Moon)"
19,"p891","〔パスト・ワイズマン〕","ムダだといっている","(Past Wiseman)"
20,"p892","〔マーズ〕","なんて巨大な妖気！！","(Mars)"
21,"p893a","〔パスト・ワイズマン〕","きさまらがいくらあがこうと、","(Past Wiseman)"
22,,"〔パスト・ワイズマン〕","霊気をあやつるすべをもつ","(Past Wiseman)"
23,"p893b","〔パスト・ワイズマン〕","このブラッディオパールの前では無力","(Past Wiseman)"
24,,"〔パスト・ワイズマン〕","ムダだと言っているのだ","(Past Wiseman)"
25,"p894","〔ジェダイト〕","ぐ……かはあ！！","(Jadeite)"
26,"p895","〔クンツァイト〕","ぐごおぉぉ！！","(Kunzite)"
27,"p896","〔ゾイサイト〕","ぎぎぎぎぎ……","(Zoisite)"
28,"p897","〔クインベリル〕","ぐ……ぐおおおっ！！","(Queen Beryl)"
29,"p898","〔ジュピター〕","なっ……","(Jupiter)"
30,"p899","〔パスト・ワイズマン〕","もはや、この者たちにあんそくの場はない","(Past Wiseman)"
31,"p900","〔パスト・ワイズマン〕","きさまらが倒せば、倒しただけこいつらは、死の苦し","(Past Wiseman)"
32,,"〔パスト・ワイズマン〕","みと再生の苦つうを味わいつづけるのだ……","(Past Wiseman)"
33,"p901","〔セーラームーン〕","……！！","(Sailor Moon)"
34,"p902","〔ヴィーナス〕","ひどい……","(Venus)"
35,"p904","〔パスト・ワイズマン〕","さあ、まだけいやくははたされておらんぞ","(Past Wiseman)"
36,"p905","〔パスト・ワイズマン〕","セーラー戦士たちを血祭りにあげ、","(Past Wiseman)"
37,,"〔パスト・ワイズマン〕","幻の銀水晶をわが元にけん上するのだ","(Past Wiseman)"
38,"p906","〔クインベリル〕","のぞむ……ところだ……","(Queen Beryl)"
39,"p907","〔セーラームーン〕","やめてぇっ！！もうやめて……おねがい……","(Sailor Moon)"
40,"p908","〔セーラームーン〕","……どうしてそこまでして戦わなくちゃいけないの！","(Sailor Moon)"
41,"p909","〔ジュピター〕","セーラームーン……","(Jupiter)"
42,"p910","〔クインベリル〕","このわたしをあわれむというのか、","(Queen Beryl)"
43,,"〔クインベリル〕","プリンセス・セレニティ。","(Queen Beryl)"
