0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,,"〔うさぎ〕","…………","(Usagi)"
11,,"","衛の考えを聞く",""
12,,"","さっきの話をどう思う？",""
13,,"","何も話さない",""
14,,"〔地場〕","うさこ、さっきのネフライトの話、どう思う？","(Chiba)"
15,,"〔うさぎ〕","…………","(Usagi)"
16,,"","信じる",""
17,,"","信じたい",""
18,,"","わからない",""
19,,"〔うさぎ〕","うまくわからないけど……","(Usagi)"
20,,"〔地場〕","自分が感じとったままをすなおに受け入れれば","(Chiba)"
21,,"〔地場〕","いいんじゃないか。
理屈じゃないさ。","(Chiba)"
22,,"〔うさぎ〕","やっぱり
信じてあげたいよね","(Usagi)"
23,,"〔地場〕","そうだな
信じてやりたいな","(Chiba)"
24,,"","［うさぎ］
・・・・・・。",""
25,,"〔うさぎ〕","まもちゃん、やっぱりネフライトの話、本当だよね","(Usagi)"
26,"p479","〔うさぎ〕","ねえ、まもちゃん。どう思う……？","(Usagi)"
27,"p470","〔地場〕","……信じてるのか……？","(Chiba)"
28,"p471","〔うさぎ〕","うん……","(Usagi)"
29,"p472","〔地場〕","そうだな…信じたいな……","(Chiba)"
30,"p473","〔うさぎ〕","そう！　そうよね！！","(Usagi)"
31,"p474","〔地場〕","でも、海野くんはどうするんだ？","(Chiba)"
32,"p475","〔地場〕","かなり落ち込んでたみたいだぞ","(Chiba)"
33,"p476","〔うさぎ〕","え？","(Usagi)"
34,"p477","〔ぐりお〕","なるちゃん……なるちゃん……","(Gurio)"
35,"p478","〔ぐりお〕","なるちゃあぁぁあぁん！！","(Gurio)"
36,,"〔うさぎ〕","ネフライトをねらっている敵が来るかもしれないから","(Usagi)"
37,,"〔うさぎ〕","なるちゃんの家に見張りをつけた方がいいわね","(Usagi)"
38,"se06","〔うさぎ〕","あらっ、通信だわ
だれかしら……","(Usagi)"
39,,"〔マーキュリー〕","うさぎちゃん、大変よ
力をかして！","(Mercury)"
40,,"〔うさぎ〕","場所は……わかった、すぐ行くわマーキュリー！","(Usagi)"
41,,"〔地場〕","気をつけてな","(Chiba)"
42,,"〔うさぎ〕","うん！","(Usagi)"
