0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,"p604","〔クインベリル〕","フフフフ…ハハハハハ…ハーッハッハッハッハッ…！","(Queen Beryl)"
11,"p605","〔うさぎ〕","！！","(Usagi)"
12,"p606","〔亜美〕","！！","(Ami)"
13,"p607","〔レイ〕","！！","(Rei)"
14,"p608","〔美奈子〕","！！","(Minako)"
15,"p609","〔まこと〕","！！","(Makoto)"
16,"p610","〔クインベリル〕","すべての人間に告ぐ","(Queen Beryl)"
17,"p611","〔クインベリル〕","今よりこの街をわれらが支配下におく","(Queen Beryl)"
18,"p612","〔クインベリル〕","われらの名は
ダークキングダム！！","(Queen Beryl)"
19,"p615","〔人々〕","ザワザワ……ガヤガヤ……","(Everybody)"
20,"p616","〔まこと〕","一体、何がどうなってるんだ？","(Makoto)"
21,"p617","〔ルナ〕","やつらは……","(Luna)"
22,,"〔ルナ〕","この街一帯を特殊な結界にふうじこめたのよ","(Luna)"
23,"p618","〔美奈子〕","特殊な結界……？","(Minako)"
24,"p619","〔アルテミス〕","そう、４つのポイントを頂点とする特殊な結界……","(Artemis)"
25,"p620","〔アルテミス〕","この中では、ありとあらゆるエナジーがうばいつくさ","(Artemis)"
26,,"〔アルテミス〕","れてしまう……","(Artemis)"
27,,"〔うさぎ〕","…………","(Usagi)"
28,"p621","〔亜美〕","光の柱があがったポイントは４つ……","(Ami)"
29,"p622","〔亜美〕","だいたいの座ひょうから、推測すると……","(Ami)"
30,"p623","〔亜美〕","！！","(Ami)"
31,"p624","〔亜美〕","スイギョクの……扉……スイギョク……","(Ami)"
32,"p625","〔なる〕","きゃあ！！","(Naru)"
33,"p626","〔ぐりお〕","な……なるちゃん……","(Gurio)"
34,"p627","〔なる〕","……？","(Naru)"
35,"p628","〔クンツァイト〕","！！　黒水晶の一部が……かけている……？","(Kunzite)"
36,"p629","〔クインベリル〕","すておけ！
多少不完全ではあっても","(Queen Beryl)"
37,,"〔クインベリル〕","われらの勝利にかわりはないわ。","(Queen Beryl)"
38,"p630","〔クインベリル〕","さあ、最後のしあげに
かかるぞ…","(Queen Beryl)"
39,,"〔うさぎ〕","……","(Usagi)"
40,"p631","〔うさぎ〕","ひどい……","(Usagi)"
41,,"〔レイ〕","……","(Rei)"
42,"p632","〔クインベリル〕","セーラー戦士よ……か弱き小娘たちよ……見ているか","(Queen Beryl)"
43,"p633a","〔クインベリル〕","……見ているだろうな……","(Queen Beryl)"
44,"p633b","〔クインベリル〕","ごらんのとおり","(Queen Beryl)"
45,,"〔クインベリル〕","今やこの街は完全にわれらが手におちた","(Queen Beryl)"
46,"p634","〔ジェダイト〕","きさまらの出るマクはない","(Jadeite)"
47,"p635","〔ネフライト〕","今度こそ、われらが勝利を手にするのだ","(Nephrite)"
48,"p636","〔５人〕","（！！　あれは……）","(All Five)"
49,"p637","〔ゾイサイト〕","でも、それじゃあまりにもはりあいがないわね","(Zoisite)"
