0,,"","▼",""
1,,"","セーブする？",""
2,,"","　ＹＥＳ",""
3,,"","　ＮＯ",""
4,,"","セーブする？",""
5,,"","　ＹＥＳ",""
6,,"","　ＮＯ",""
7,,"","何番にする？",""
8,,"","１番にセーブ",""
9,,"","２番にセーブ",""
10,"p894","〔ジェダイト〕","ぐ……かはあ！！","(Jadeite)"
11,"p895","〔クンツァイト〕","ぐごおぉぉ！！","(Kunzite)"
12,"p896","〔ゾイサイト〕","ぎぎぎぎぎ……","(Zoisite)"
13,"p897","〔クインベリル〕","ぐ……ぐおおおっ！！","(Queen Beryl)"
14,"p898","〔ジュピター〕","なっ……","(Jupiter)"
15,"p899","〔パスト・ワイズマン〕","もはや、この者たちにあんそくの場はない","(Past Wiseman)"
16,"p900","〔パスト・ワイズマン〕","きさまらが倒せば、倒しただけこいつらは、死の苦し","(Past Wiseman)"
17,,"〔パスト・ワイズマン〕","みと再生の苦つうを味わいつづけるのだ……","(Past Wiseman)"
18,"p901","〔セーラームーン〕","……！！","(Sailor Moon)"
19,"p902","〔ヴィーナス〕","ひどい……","(Venus)"
20,"p904","〔パスト・ワイズマン〕","さあ、まだけいやくははたされておらんぞ","(Past Wiseman)"
21,"p905","〔パスト・ワイズマン〕","セーラー戦士たちを血祭りにあげ、","(Past Wiseman)"
22,,"〔パスト・ワイズマン〕","幻の銀水晶をわが元にけん上するのだ","(Past Wiseman)"
23,"p906","〔クインベリル〕","のぞむ……ところだ……","(Queen Beryl)"
24,"p907","〔セーラームーン〕","やめてぇっ！！もうやめて……おねがい……","(Sailor Moon)"
25,"p908","〔セーラームーン〕","……どうしてそこまでして戦わなくちゃいけないの！","(Sailor Moon)"
26,"p909","〔ジュピター〕","セーラームーン……","(Jupiter)"
27,"p910","〔クインベリル〕","このわたしをあわれむというのか、","(Queen Beryl)"
28,,"〔クインベリル〕","プリンセス・セレニティ。","(Queen Beryl)"
29,"p911","〔クインベリル〕","どこまでも、にくにくしい小娘よ……","(Queen Beryl)"
30,"p912","〔クインベリル〕","ならばその命をいただこう","(Queen Beryl)"
31,"p913","〔ヴィーナス〕","ベリル！　クレッセント…","(Venus)"
32,"p914","〔クンツァイト〕","きさまの相手はこのオレだ","(Kunzite)"
33,"p915","〔ジュピター〕","ずりゃああ！！","(Jupiter)"
34,"p916","〔ジュピター〕","わたしが相手になったげるよ！　来な！！","(Jupiter)"
35,"p917","〔クインベリル〕","ちぃっ……ジャマを……","(Queen Beryl)"
36,"p918","〔クインベリル〕","するなあっ！！","(Queen Beryl)"
37,"p919","〔セーラームーン〕","あ……ああ……","(Sailor Moon)"
38,,"","みんなを止める",""
39,,"","思いを口にする",""
40,,"","考える",""
41,"p920","〔セーラームーン〕","やだ……こんなのやだ…","(Sailor Moon)"
42,"p921","〔セーラームーン〕","何で、何でわたしたちは","(Sailor Moon)"
43,,"〔セーラームーン〕","そこまでして戦わなきゃいけないの？","(Sailor Moon)"
44,"p922","〔セーラームーン〕","これが…これが運命だとでもいうの！？","(Sailor Moon)"
45,"p923","〔セーラームーン〕","こんな形でしかあの人たちとふれあうことは……","(Sailor Moon)"
