10,"p480","〔ルナ〕","…で、結局あたしにこういう役がまわってくるのよね","(Luna)",,,"...As usual, I get to be on the lookout."
11,"p481","〔ルナ〕","まあ、みんな女の子だし学校だってあるし、見張りな","(Luna)",,,"They ARE young ladies, after all.
They have to attend school."
12,,"〔ルナ〕","んてのは確かにネコの方が世話ないからわかるけどね","(Luna)",,,"Besides, no one would suspect a cat.
I know I'm perfect for this job."
13,"p482","〔ルナ〕","ふわぁーーーあ","(Luna)",,,"*yaaawn*"
14,"p483","〔ルナ〕","でもたいくつ。やっぱりうさぎちゃんの言うとおり","(Luna)",,,"But it sure is boring..."
15,,"〔ルナ〕","ネフライトは本物で改心もしたのかしら……","(Luna)",,,"I wonder if Nephrite has really turned over a new leaf, like Usagi-chan says..."
16,"p484","〔クンツァイト〕","王子……！","(Kunzite)",,,"Prince...!"
17,"p485","〔ゾイサイト〕","王子！","(Zoisite)",,,"Prince!"
18,"p486","〔ネフライト〕","王子！","(Nephrite)",,,"Prince!"
19,"p487","〔ジェダイト〕","王子！","(Jadeite)",,,"Prince!"
20,"p488","〔クンツァイト〕","王子！　われわれは、言いなりはもうたくさんだ！","(Kunzite)",,,"Prince! We're sick of doing their bidding!"
21,"p489","〔ジェダイト〕","月の王国のやり方には
がまんできません！","(Jadeite)",,,"We cannot stand the methods of the Moon Kingdom!"
22,"p490","〔ゾイサイト〕","われわれを、支配者気取りで一方的に監視するなど…","(Zoisite)",,,"They're watching us, acting as if they ruled us..."
23,"p491","〔ネフライト〕","立ち上がりましょう！
王子！","(Nephrite)",,,"We must take action, Prince!"
24,"p492","〔ネフライト〕","逆にこちらが月の王国を支配してやるのです","(Nephrite)",,,"WE should be the ones ruling over the Moon Kingdom!"
25,"p493","〔４人〕","王子！！","(All Four)",,,"PRINCE!!"
26,"p494","〔エンディミオン〕","なぜ争おうとする？","(Endymion)",,,"Why do you wish to oppose them now?"
27,"p495","〔エンディミオン〕","いつ言いなりになったというんだ！！","(Endymion)",,,"What brought upon such an idea?"
28,"p496","〔エンディミオン〕","監視されているだと？","(Endymion)",,,"You think they're simply {watching} us?"
29,"p497","〔エンディミオン〕","わからないのか！？","(Endymion)",,,"Don't you get it?!"
30,"p498","〔エンディミオン〕","あいつはわれわれを利用しようとしているのだぞ！！","(Endymion)",,,"They're USING us for their own gain!!"
31,"p499","〔ネフライト〕","ハァッ、ハァッ……","(Nephrite)",,,"*huff* *huff*"
32,"p500","〔ネフライト〕","再生のショックで","(Nephrite)",,,"It seems the shock of my resurrection"
33,,"〔ネフライト〕","うしなわれた過去の記憶を取り戻す……か","(Nephrite)",,,"brought back some of my lost memories..."
34,"p501","〔ネフライト〕","あまりにも……おそすぎる……","(Nephrite)",,,"But...it's too late now..."
35,"p502","〔ルナ〕","！！！！！！？","(Luna)",,,"Ah!"
36,"p503","〔ルナ〕","あれは……！？　大変！！","(Luna)",,,"Th-This is bad!!"
37,"a081","〔ルナ〕","亜美ちゃん！　敵よ！","(Luna)","Ami+-chan++! We've got trouble!",,"Ami-chan! We've got trouble!"
38,,"〔ルナ〕","なるちゃんの家に敵があらわれたわ！　すぐ来て！","(Luna)","The enemy's appeared inside Naru+-chan++'s house!
Hurry!",,"The enemy has appeared inside Naru-chan's house!
Hurry!"
39,"a082","〔亜美〕","！！","(Ami)","!!",,"! !"
40,,,"すぐに行く",,"Go at once",,"Go at once"
41,,,"状況をきく",,"Ask for more details",,"Ask for more details"
42,,,"ほかの人に連絡する",,"Call the others",,"Call the others"
43,,"〔亜美〕","ルナ、みんなには
もう連絡した？","(Ami)","Luna, have you called the others yet?",,"Luna, have you called the others already?"
44,,"〔ルナ〕","連絡ずみよ！","(Luna)","Yes!",,"Yes!"
45,,"〔亜美〕","状況は？","(Ami)","What's the situation?",,"What's the situation?"
46,,"〔ルナ〕","敵は３人！　みんな仮面をつけているから正体は不明","(Luna)","There are three men!
They're wearing masks, so I can't tell who they are!",,"There are 3 men!
They're wearing masks, so I can't tell who they are!"
47,,"〔ルナ〕","でも、わたし一人じゃ、どうにもならないわ","(Luna)","There's nothing else I can do on my own!",,"There's nothing else I can do on my own!"
48,,"〔亜美〕","すぐ行くわ！","(Ami)","I'm on my way!",,"I'm on my way!"
49,"a083","〔亜美〕","（そうだ……とおい過去から、そして今まで","(Ami)","(That's right...We've always been together.",,"(That's right... We've always been together."
50,,"〔亜美〕","わたしたちは同じ時代をともに生きてきた……","(Ami)","We once were in a past long gone, and we are now.",,"We were in a past long gone, and we are now."
51,"a084","〔亜美〕","もちろん、これからも！！）","(Ami)","And we'll always be!)",,"And we'll always be!)"
52,,"〔なる〕","あ……ああ……","(Naru)",,,"Ah... Ahhh..."
53,,"〔ネフライト〕","くっ……ぐぐっ……","(Nephrite)",,,"Rgh... Urgh...."
54,"p512","〔ゾイサイト〕","わたしがこの場所を知っていることを忘れたの？","(Zoisite)",,,"Did you forget that I am well aware of this place?"
55,"p513","〔ゾイサイト〕","ホホホ……相変わらずその娘にごしゅうしんなのね…","(Zoisite)",,,"Hm hm hm... As usual, you're awfully infatuated with this girl."
56,"p514","〔ネフライト〕","く……き……きさまらぁ…","(Nephrite)",,,"D-Damn you...!"
57,"p515","〔なる〕","ネフライトさま！","(Naru)",,,"Nephrite-sama!"
58,"p516","〔クンツァイト〕","裏切り者は死をもって、つぐなってもらうところだが","(Kunzite)",,,"While we'd like nothing better than to execute a traitor,"
59,,"〔クンツァイト〕","パスト・ワイズマンの命令だ。一緒に来てもらおう","(Kunzite)",,,"Past Wiseman has ordered us to bring you back."
60,"p518","〔ネフライト〕","……なるちゃん……
逃げるんだ……","(Nephrite)",,,"...Naru-chan... Run..."
61,"p519","〔ゾイサイト〕","いいわ、黒水晶を持ってすなおについてきてくれたら","(Zoisite)",,,"How about this? If you lead us to the Silver Crystal,"
,,,,,,,
,,,"〔ゾイサイト〕
",,,,"(Zoisite)"
,"p520",,"その娘には手出ししないでおいてあげる",,,,"we won't harm the girl."
62,,"〔ゾイサイト〕
","その娘には手出ししないでおいてあげる","(Zoisite)",,,
,,,,,,,
64,"p521","〔ネフライト〕","！？……ぐっ……","(Nephrite)",,,"! ? ...Rgh..."
65,"p522","〔なる〕","いやあ！　やめて！　ネフライトさまをはなして！！","(Naru)",,,"No! Stop it! Let Nephrite-sama go!"
66,"p523","〔クンツァイト〕","どうせ、もうすぐこの街からは","(Kunzite)",,,"Not that it matters."
67,,"〔クンツァイト〕","一人残らず人間が消えるのだからな","(Kunzite)",,,"Soon, there won't be any humans left in this town."
68,"p524","〔ゾイサイト〕","すべてのエナジーをわたしたちにささげてね……","(Zoisite)",,,"All of their energy will be ours..."
69,"p525","〔クンツァイト〕","ふははははははは……","(Kunzite)",,,"Mwahahahah!"
70,,"〔ゾイサイト〕","おほほほほほ……","(Zoisite)",,,"Hoh hoh hoh hoh hoh!"
71,"p526","〔ネフライト〕","きさまら……まさか……すでに……","(Nephrite)",,,"N-No way... You've already―?!"
72,"p527","〔セーラームーン〕","まちなさい！","(Sailor Moon)",,,"HOLD IT!"
73,"p537","〔クンツァイト〕","きさまらのおユウギに付き合っているヒマはない","(Kunzite)",,,"We don't have time to play with you."
74,"p538","〔ジェダイト〕","カアッ！！","(Jadeite)",,,"KAH!"
75,"p539","〔セーラームーン〕","きゃっ！？　あ、あちぃ！","(Sailor Moon)",,,"Whoa?! Hot-hot-hot!"
76,"p540","〔マーキュリー〕","（見た目に反して熱量はほとんどない）","(Mercury)",,,"(Wait. This flame is not as hot as it should be.)"
77,"p541","〔マーキュリー〕","みんな！　だまされちゃだめ、幻覚よ！！","(Mercury)",,,"Don't be fooled, girls! It's an illusion!"
78,"p542","〔クンツァイト〕","もうおそい、さらばだ
セーラー戦士たち","(Kunzite)",,,"Too late.
Farewell, Sailor Senshi."
79,"p543","〔ゾイサイト〕","ごきげんよう……うふふ…","(Zoisite)",,,"Adieu! Heheheh..."
80,"sui.16k","〔ネフライト〕","セーラー戦士！　スイギョクの扉だ……","(Nephrite)",,,"Sailor Senshi! Th-The Emerald Gate!"
81,,"〔ネフライト〕","スイギョクの扉に気をつけ……","(Nephrite)",,,"W-Watch out for the Emerald Ga―"
82,,"〔なる〕","…………！！","(Naru)",,,"......! !"
83,"p544a","〔なる〕","う……うう……","(Naru)",,,"*sob*"
84,"p545","〔セーラームーン〕","ネフライト……","(Sailor Moon)",,,"Nephrite..."
85,"p546","〔ぐりお〕","あわわわわ……と、とんでもないものを見て……","(Gurio)",,,"Awawawa..."
86,,"〔ぐりお〕","しまっ……た……","(Gurio)",,,"I-I've just seen something...out of this world......"
87,"p547","〔クインベリル〕","もうすぐ……","(Queen Beryl)",,,"Soon..."
88,"p548","〔クインベリル〕","もうすぐだ……","(Queen Beryl)",,,"Very soon..."
89,"p549","〔クインベリル〕","われらの長き
不ぐうの時代は","(Queen Beryl)",,,"Our long era of misfortune"
90,,"〔クインベリル〕","こよい終わりを告げる","(Queen Beryl)",,,"will finally end tonight."
91,"p550","〔クインベリル〕","偉大なるハオウ、デス・ファントムよ","(Queen Beryl)",,,"O Death Phantom, our great ruler,"
92,"p551","〔クインベリル〕","われらをみちびきたまえ……","(Queen Beryl)",,,"show us the way..."
93,"p552","〔クインベリル〕","しゅびよくいったようだな……","(Queen Beryl)",,,"I see you've succeeded."
94,"p553","〔クンツァイト〕","セーラー戦士のジャマは入りましたが","(Kunzite)",,,"The Sailor Senshi have interfered,"
95,,"〔クンツァイト〕","ぬかりはありません……","(Kunzite)",,,"but we've not failed."
96,"p554","〔クインベリル〕","フッ……ろくに使いこなすこともできなかった男には","(Queen Beryl)",,,"Heh. A useless trinket in the hands of a man"
97,,"〔クインベリル〕","無用の長物よ……","(Queen Beryl)",,,"who cannot handle its power."
98,"p555","〔ネフライト〕","それは……きさまとて同じだ……","(Nephrite)",,,"It won't be...any different for you..."
99,"p555a","〔クインベリル〕","！？","(Queen Beryl)",,,"? !"
