10,"p480","〔ルナ〕","…で、結局あたしにこういう役がまわってくるのよね","(Luna)",,,"...As usual, I get to be on the lookout."
11,"p481","〔ルナ〕","まあ、みんな女の子だし学校だってあるし、見張りな","(Luna)",,,"They ARE young ladies, after all.
They have to attend school."
12,,"〔ルナ〕","んてのは確かにネコの方が世話ないからわかるけどね","(Luna)",,,"Besides, no one would suspect a cat.
I know I'm perfect for this job."
13,"p482","〔ルナ〕","ふわぁーーーあ","(Luna)",,,"*yaaawn*"
14,"p483","〔ルナ〕","でもたいくつ。やっぱりうさぎちゃんの言うとおり","(Luna)",,,"But it sure is boring..."
15,,"〔ルナ〕","ネフライトは本物で改心もしたのかしら……","(Luna)",,,"I wonder if Nephrite has really turned over a new leaf, like Usagi-chan says..."
16,"p484","〔クンツァイト〕","王子……！","(Kunzite)",,,"Prince...!"
17,"p485","〔ゾイサイト〕","王子！","(Zoisite)",,,"Prince!"
18,"p486","〔ネフライト〕","王子！","(Nephrite)",,,"Prince!"
19,"p487","〔ジェダイト〕","王子！","(Jadeite)",,,"Prince!"
20,"p488","〔クンツァイト〕","王子！　われわれは、言いなりはもうたくさんだ！","(Kunzite)",,,"Prince! We're sick of doing their bidding!"
21,"p489","〔ジェダイト〕","月の王国のやり方には
がまんできません！","(Jadeite)",,,"We cannot stand the methods of the Moon Kingdom!"
22,"p490","〔ゾイサイト〕","われわれを、支配者気取りで一方的に監視するなど…","(Zoisite)",,,"They're watching us, acting as if they ruled us..."
23,"p491","〔ネフライト〕","立ち上がりましょう！
王子！","(Nephrite)",,,"We must take action, Prince!"
24,"p492","〔ネフライト〕","逆にこちらが月の王国を支配してやるのです","(Nephrite)",,,"WE should be the ones ruling over the Moon Kingdom!"
25,"p493","〔４人〕","王子！！","(All Four)",,,"PRINCE!!"
26,"p494","〔エンディミオン〕","なぜ争おうとする？","(Endymion)",,,"Why do you wish to oppose them now?"
27,"p495","〔エンディミオン〕","いつ言いなりになったというんだ！！","(Endymion)",,,"What brought upon such an idea?"
28,"p496","〔エンディミオン〕","監視されているだと？","(Endymion)",,,"You think they're simply {watching} us?"
29,"p497","〔エンディミオン〕","わからないのか！？","(Endymion)",,,"Don't you get it?!"
30,"p498","〔エンディミオン〕","あいつはわれわれを利用しようとしているのだぞ！！","(Endymion)",,,"They're USING us for their own gain!!"
31,"p499","〔ネフライト〕","ハァッ、ハァッ……","(Nephrite)",,,"*huff* *huff*"
32,"p500","〔ネフライト〕","再生のショックで","(Nephrite)",,,"It seems the shock of my resurrection"
33,,"〔ネフライト〕","うしなわれた過去の記憶を取り戻す……か","(Nephrite)",,,"brought back some of my lost memories..."
34,"p501","〔ネフライト〕","あまりにも……おそすぎる……","(Nephrite)",,,"But...it's too late now..."
35,"p502","〔ルナ〕","！！！！！！？","(Luna)",,,"Ah!"
36,"p503","〔ルナ〕","あれは……！？　大変！！","(Luna)",,,"Th-This is bad!!"
37,"se06","〔ルナ〕","まこちゃん！　大変よ！","(Luna)","Mako+-chan++, we've got trouble!",,"Mako-chan, we've got trouble!"
38,,"〔ルナ〕","なるちゃんの家に敵が現れたわ！","(Luna)","The enemy's appeared inside Naru+-chan++'s house!",,"The enemy has appeared inside Naru-chan's house!"
39,,"〔ルナ〕","ネフライトを連れ戻しに来たらしいの、急いで！","(Luna)","They must be here to take Nephrite back! Hurry!",,"They must be here to take Nephrite back! Hurry!"
40,,"〔まこと〕","わかった！　すぐ行くよ！","(Makoto)","Got it! I'm on my way!",,"Got it! I'm on my way!"
41,,"〔まこと〕","（へっ、細かいことぐずぐず考えるのは","(Makoto)","(Heh. Just thinking and thinking isn't my style, after all.",,"(Heh. Thinking and thinking isn't my style, after all."
42,,"〔まこと〕","しょうにあわないや！行動あるのみってね！）","(Makoto)","I'm more about taking action!)",,"I'm more about taking action!)"
43,,"〔なる〕","あ……ああ……","(Naru)","Ah...Ahhh...",,"Ah... Ahhh..."
44,,"〔ネフライト〕","くっ……ぐぐっ……","(Nephrite)","Rgh...Urgh...",,"Rgh... Urgh...."
45,"p512","〔ゾイサイト〕","わたしがこの場所を知っていることを忘れたの？","(Zoisite)",,,"Did you forget that I am well aware of this place?"
46,"p513","〔ゾイサイト〕","ホホホ……相変わらずその娘にごしゅうしんなのね…","(Zoisite)",,,"Hm hm hm... As usual, you're awfully infatuated with this girl."
47,"p514","〔ネフライト〕","く……き……きさまらぁ…","(Nephrite)",,,"D-Damn you...!"
48,"p515","〔なる〕","ネフライトさま！","(Naru)",,,"Nephrite-sama!"
49,"p516","〔クンツァイト〕","裏切り者は死をもって、つぐなってもらうところだが","(Kunzite)",,,"While we'd like nothing better than to execute a traitor,"
50,,"〔クンツァイト〕","パスト・ワイズマンの命令だ。一緒に来てもらおう","(Kunzite)",,,"Past Wiseman has ordered us to bring you back."
51,"p518","〔ネフライト〕","……なるちゃん……
逃げるんだ……","(Nephrite)",,,"...Naru-chan... Run..."
52,"p519","〔ゾイサイト〕","いいわ、黒水晶を持ってすなおについてきてくれたら","(Zoisite)",,,"How about this? If you lead us to the Silver Crystal,"
53,,,"〔ゾイサイト〕
",,,,"(Zoisite)"
54,"p520",,"その娘には手出ししないでおいてあげる",,,,"we won't harm the girl."
55,"p521","〔ネフライト〕","！？……ぐっ……","(Nephrite)",,,"! ? ...Rgh..."
56,"p522","〔なる〕","いやあ！　やめて！　ネフライトさまをはなして！！","(Naru)",,,"No! Stop it! Let Nephrite-sama go!"
57,"p523","〔クンツァイト〕","どうせ、もうすぐこの街からは","(Kunzite)",,,"Not that it matters."
58,,"〔クンツァイト〕","一人残らず人間が消えるのだからな","(Kunzite)",,,"Soon, there won't be any humans left in this town."
59,"p524","〔ゾイサイト〕","すべてのエナジーをわたしたちにささげてね……","(Zoisite)",,,"All of their energy will be ours..."
60,"p525","〔クンツァイト〕","ふははははははは……","(Kunzite)",,,"Mwahahahah!"
61,,"〔ゾイサイト〕","おほほほほほ……","(Zoisite)",,,"Hoh hoh hoh hoh hoh!"
62,"p526","〔ネフライト〕","きさまら……まさか……すでに……","(Nephrite)",,,"N-No way... You've already―?!"
63,"p527","〔セーラームーン〕","まちなさい！","(Sailor Moon)",,,"HOLD IT!"
64,"p537","〔クンツァイト〕","きさまらのおユウギに付き合っているヒマはない","(Kunzite)",,,"We don't have time to play with you."
65,"p538","〔ジェダイト〕","カアッ！！","(Jadeite)",,,"KAH!"
66,"p539","〔セーラームーン〕","きゃっ！？　あ、あちぃ！","(Sailor Moon)",,,"Whoa?! Hot-hot-hot!"
67,"p540","〔マーキュリー〕","（見た目に反して熱量はほとんどない）","(Mercury)",,,"(Wait. This flame is not as hot as it should be.)"
68,"p541","〔マーキュリー〕","みんな！　だまされちゃだめ、幻覚よ！！","(Mercury)",,,"Don't be fooled, girls! It's an illusion!"
69,"p542","〔クンツァイト〕","もうおそい、さらばだ
セーラー戦士たち","(Kunzite)",,,"Too late.
Farewell, Sailor Senshi."
70,"p543","〔ゾイサイト〕","ごきげんよう……うふふ…","(Zoisite)",,,"Adieu! Heheheh..."
71,"sui.16k","〔ネフライト〕","セーラー戦士！　スイギョクの扉だ……","(Nephrite)",,,"Sailor Senshi! Th-The Emerald Gate!"
72,,"〔ネフライト〕","スイギョクの扉に気をつけ……","(Nephrite)",,,"W-Watch out for the Emerald Ga―"
73,,"〔なる〕","…………！！","(Naru)",,,"......! !"
74,"p544a","〔なる〕","う……うう……","(Naru)",,,"*sob*"
75,"p545","〔セーラームーン〕","ネフライト……","(Sailor Moon)",,,"Nephrite..."
76,"p546","〔ぐりお〕","あわわわわ……と、とんでもないものを見て……","(Gurio)",,,"Awawawa..."
77,,"〔ぐりお〕","しまっ……た……","(Gurio)",,,"I-I've just seen something...out of this world......"
