10,"p863","〔マーキュリー〕","！！…セーラームーン…","(Mercury)","*gasp* Sailor Moon is..."
11,"p864","〔ジュピター〕","泣いている……","(Jupiter)","...crying..."
12,"p865","〔ヴィーナス〕","わたしたちのプリンセスが","(Venus)","The cheeks of our princess..."
13,"p866","〔ヴィーナス〕","……悲しみにホホをぬらしている……！","(Venus)","...are wet with tears...!"
14,"p867","〔マーズ〕","……プリンセス……いえ…うさぎ！","(Mars)","Princess...No, Usagi!"
15,"p868","〔クインベリル〕","ほう……死ぬのがこわいかプリンセス","(Queen Beryl)","Oh my. Are you afraid of death, Princess?"
16,"p869","〔クインベリル〕","安心しろ、その恐怖もそろそろ終わりだ……","(Queen Beryl)","Worry not. Your end is nigh..."
17,"p870","〔クインベリル〕","死ね！","(Queen Beryl)","DIE!"
18,"p871","〔クインベリル〕","き……きさまら！？","(Queen Beryl)","Y-You―?!"
19,"p872","〔ヴィーナス〕","プリンセスから手をはなしなさい！","(Venus)","Get your dirty hands off of our princess!"
20,"p873","〔ジュピター〕","わたしたちはプリンセス・セレニティを守る","(Jupiter)","We are the four Guardian +Senshi+Soldiers+ tasked with protecting Princess Serenity!"
21,,"〔ジュピター〕","四守護神の戦士！","(Jupiter)",
22,"p874","〔ジュピター〕","スパークリング　ワイド
プレッシャー","(Jupiter)","Sparkling Wide Pressure!"
23,"p875","〔マーキュリー〕","シャイン　アクア
イリュージョン！","(Mercury)","Shine Aqua Illusion!"
24,"p876","〔マーズ〕","バーニング　マンダラー！","(Mars)","Burning Mandala!"
25,"p877","〔ヴィーナス〕","ヴィーナス　ラブミー
チェーン！","(Venus)","Venus Love Me Chain!"
26,"p879","〔クインベリル〕","うがあーっ！！","(Queen Beryl)","AAARGH!!"
27,"p880","〔ジュピター〕","……あ……れ！？","(Jupiter)","...Huh...?"
28,"p881","〔マーキュリー〕","今のは……いったい……","(Mercury)","What did we just do...?"
29,"p882","〔ヴィーナス〕","セーラームーン！　今よ！","(Venus)","Sailor Moon! Now!"
30,"p884","〔セーラームーン〕","ムーンプリンセス
ハレーション！","(Sailor Moon)","Moon Princess Halation!"
31,"p885","〔クインベリル〕","な……なんだと……負ける……のか？","(Queen Beryl)","H-How...? How is this possible...?"
32,"p886","〔クインベリル〕","このわたしが二度も……！？","(Queen Beryl)","How could I be defeated again...?!"
33,"p879","〔クインベリル〕","うがあーっ！！","(Queen Beryl)","AAARGH!!"
34,"p887","〔マーキュリー〕","パスト・ワイズマン！
つぎはあなたの番よ！","(Mercury)","Past Wiseman! You're next!"
35,,"〔パスト・ワイズマン〕","……","(Past Wiseman)","......"
36,"p888","〔ヴィーナス〕","なんとかおっしゃい！","(Venus)","Say something!"
37,"p889","〔パスト・ワイズマン〕","……ムダだ","(Past Wiseman)","...Useless."
38,"p890","〔セーラームーン〕","！？","(Sailor Moon)","?!"
