10,,"〔うさぎ〕","あれ、もうレイちゃんたち帰っちゃったのかな？","(Usagi)","I guess Rei+-chan++ and the others already left.",,"I guess Rei-chan and the others already left."
11,,"〔うさぎ〕","まっいいや！　Ｖちゃんのゲームでもやろーっと！","(Usagi)","Oh well! Might as well play some +V-chan+Sailor V+!",,"Oh well! Might as well play some V-chan!"
12,,,"［Ｖゲームの説明］
十字キーの上下でＶちゃんを動かして飛んでくる敵を","(V Game Explanation)","Press Up and Down on the D-Pad to move +V-chan+Sailor V+, and shoot down incoming flying enemies.",,"[V Game Explanation]
Press Up and Down on the D-Pad to move V-chan"
13,,,"［Ｖゲームの説明］
打ち落としてください。",,,,"[V Game Explanation]
and shoot down incoming flying enemies."
14,,"〔うさぎ〕","（あ～あ、ゲームオーバーになっちゃった","(Usagi)","(Awww, I got a game over.",,"(Awww. I got a game over."
15,,"〔うさぎ〕","どうしよう？）","(Usagi)","What now?)",,"What now?)"
16,,,"セーラーＶに再挑戦！",,"Play Sailor V again!",,"Play Sailor V again!"
17,,,"気合をこめて再挑戦！",,"Get fired up and try again!",,"Get fired up and try again!"
18,,,"セーラーＶはやめる",,"Stop playing Sailor V",,"Stop playing Sailor V"
19,,"〔うさぎ〕","よし！
もう一回チャレンジよ！！","(Usagi)","Alright, one more time!",,"Alright, one more time!"
20,,"〔うさぎ〕","このままやめるのは
くやしいわ","(Usagi)","I can't quit like this.",,"I can't quit like this."
21,,"〔うさぎ〕","気合を込めて
再チャレンジよ！","(Usagi)","I'll try again, for real this time!",,"I'll try again, for real this time!"
