10,,"〔美奈子〕","（みんなはなにをしてるのかな？）","(Minako)","(I wonder what the others are doing.)",,"(I wonder what the others are doing.)"
11,,,"レイをさがす",,"Look for Rei",,"Look for Rei"
12,,,"うさぎをさがす",,"Look for Usagi",,"Look for Usagi"
13,,,"クレーンゲームに再挑戦",,"Play the claw crane again",,"Play the claw crane again"
14,"v052","〔美奈子〕","レイちゃんは
なにやってるのかしら？","(Minako)","What's Rei+-chan++ up to?",,"What's Rei-chan up to?"
15,"v053","〔美奈子〕","あはっ、シューティングゲームやってる","(Minako)","Oh, it's a shoot-'em-up.",,"Oh, it's a shooting game."
16,,"〔美奈子〕","レイちゃんらしいわね","(Minako)","That's so Rei+-chan++.",,"That's so Rei-chan."
17,,"〔美奈子〕","レーイちゃん！
どう？　調子は？","(Minako)","Rei+-chan++! How's it going?",,"Rei-chan! How's it going?"
18,,"〔レイ〕","……ぎ……","(Rei)","...Rgh...",,"....Rgh..."
19,,"〔美奈子〕","レイちゃん？","(Minako)","Rei+-chan++?",,"Rei-chan?"
20,,"〔レイ〕","ちょっと……話し……
かけないで……","(Rei)","No...talking...please...",,"No...talking...please..."
21,,"〔美奈子〕","……？","(Minako)","...?",,"...?"
22,,"〔ルナ〕","見つけたわよ、二人とも","(Luna)","There you are, girls.",,"There you are, girls."
23,,"〔二人〕","ル、ルナ！？","(Both)","L-Luna?!",,"L-Luna?!"
24,,"〔ルナ〕","美奈子ちゃん、アルテミス怒ってたわよーーー","(Luna)","Minako+-chan++, Artemis is very, VERY mad, you know.",,"Minako-chan, Artemis is very, very mad, you know."
25,,"〔美奈子〕","え……そう……？
そう……","(Minako)","I-Is that so...?",,"I-Is that so...?"
26,,"〔レイ〕","ハハ……","(Rei)","Hahah...",,"Hahah..."
27,"v054","〔美奈子〕","うさぎちゃんはセーラーＶゲームか、楽しそうね……","(Minako)","Usagi+-chan++'s playing Sailor V Game.
She's having fun.",,"Usagi-chan is playing the Sailor V Game.
She's having fun."
28,"v055","〔美奈子〕","でも……やっぱり","(Minako)","...But...",,"...But..."
29,,"〔美奈子〕","やっぱりあのぬいぐるみがわたしを呼んでるわ！","(Minako)","That doll is calling out to me!",,"That doll is calling out to me!"
30,"v056","〔美奈子〕","よーーっし！　やるぞぉ！","(Minako)","I have to keep going!",,"I have to keep going!"
31,"v057","〔美奈子〕","あ……ああ……！","(Minako)","Ah...Ahhh...",,"Ah... Ahhh..."
32,"v058","〔美奈子〕","……ああーーっ","(Minako)","...Awww...",,"...Awww..."
33,"r135","〔レイ〕","みーなっこちゃん！
どう？　調子は？","(Rei)","Minako+-chan++!
Well, how's it going?",,"Minako-chan!
So, how's it going?"
34,"r136","〔美奈子〕","んーーっだめ
最悪……","(Minako)","BAD, that's how...",,"Badly, that's how..."
35,"r137","〔美奈子〕","どーしてもあのＶちゃん人形がほしいのに……","(Minako)","I really wanted that +V-chan+Sailor V+ doll...",,"I really wanted that V-chan doll..."
36,"r138","〔レイ〕","セーラーＶのぬいぐるみか今時めずらしいね。よーし","(Rei)","A Sailor V toy, huh? Those are rare these days.
Alright then!",,"A Sailor V toy, huh? Those are rare, nowadays.
Alright then!"
37,"r139","〔アルテミス〕","やめといたほうがいいな
１００円ムダにするだけだ","(Artemis)","I wouldn't even try if I were you.
You'd be wasting 100 yen.",,"I wouldn't even try if I were you.
You'd be wasting 100 yen."
38,"r140","〔レイ〕","なにいってるのよ！","(Rei)","How can you be so sure?!",,"How can you be so sure?!"
39,"r141","〔アルテミス〕","よく見ればわかるハズだ
","(Artemis)","I can tell by looking at it.",,"I can tell by looking at it."
40,"r142","〔アルテミス〕","それはびみょうにクレーンが届かないはんいに入って","(Artemis)","It's in a very awkward spot. The crane can't quite get there.",,"It's in a very awkward spot."
41,,"〔アルテミス〕","しまっている","(Artemis)",,,"The crane can't quite get there."
42,"r143","〔アルテミス〕","ちょっとした注意力があればわかると思うんだがね","(Artemis)","You'd realize that yourself, if you were more attentive...",,"You'd realize that yourself, if you were more attentive..."
43,"r144","〔二人〕","ア……アルテミス！！","(Both)","A-Artemis?!",,"A-Artemis?!"
44,"r145","〔アルテミス〕","戦士としての特訓をサボるようじゃ","(Artemis)","A true +Senshi+Soldier+ wouldn't skip her training, but here we are.",,"A true Senshi wouldn't skip her training, but here we are."
45,,"〔アルテミス〕","やはりまだまだということだね","(Artemis)","As I thought, you still have a long way to go.",,"As I thought, you still have a long way to go."
46,"p162","〔アルテミス〕","まったく……キミたちは戦士の使命というものをどう","(Artemis)",,,"Seriously."
47,,"〔アルテミス〕","とらえているんだ！？","(Artemis)",,,"Is that what you think of your duties as Senshi?!"
48,,"〔レイ〕","でも、魔界樹とあの二人も去っちゃって、もう敵な","(Rei)",,,"But the Makai Tree and those two are gone."
49,,"〔レイ〕","んていないじゃない。なんで特訓なんか必要あるの？","(Rei)",,,"We don't have anyone to fight.
Why would we need training?"
50,,"〔アルテミス〕","……！","(Artemis)",,,"...!"
51,"p165","〔アルテミス〕","美奈子、それすら伝えてないのか","(Artemis)",,,"Does this mean you haven't told them, Minako?"
52,"p166","〔美奈子〕","え、だって……その、ほら気のせいってことも……","(Minako)",,,"W-Well, uhmm... I mean, maybe you just imagined it..."
53,"p167","〔アルテミス〕","美奈子！","(Artemis)",,,"Minako!"
54,"p169","〔亜美〕","実はね、昨日の晩ルナとアルテミスが妖しいエナジー","(Ami)",,,"It seems that Luna and Artemis have sensed"
55,,"〔亜美〕","を感じたらしいのよ","(Ami)",,,"dark energy, yesterday evening."
56,"p170","〔ルナ〕","それだけじゃないわ。そのエナジーを発してる影も","(Luna)",,,"That's not all."
57,,"〔ルナ〕","見たわ","(Luna)",,,"We saw the shadows releasing this energy."
58,"p171","〔ルナ〕","しかも、三人も","(Luna)",,,"Three shadows, to be exact."
59,"p172","〔アルテミス〕","妖魔によくにた
エナジーだった","(Artemis)",,,"That energy was very similar to that of a Youma."
60,"p173","〔アルテミス〕","いや妖魔そのものと言った方がいいかもしれない……","(Artemis)",,,"No―We'd better assume that it was an actual Youma."
61,"p174","〔まこと〕","妖魔？","(Makoto)",,,"A Youma?"
62,"p175","〔美奈子〕","でしょ、でしょお","(Minako)",,,"I know, right?"
63,"p176","〔アルテミス〕","美奈子！","(Artemis)",,,"Minako!"
64,"p177","〔アルテミス〕","とにかく！","(Artemis)",,,"At any rate..."
65,"p178","〔アルテミス〕","気のせいにしても用心するにこしたことはない！","(Artemis)",,,"While we'd like to be wrong about this, it's better to be safe than sorry."
66,"p179","〔アルテミス〕","みんな少したるんでるようだから","(Artemis)",,,"You've been slacking off too much lately,"
67,,"〔アルテミス〕","今日はビシビシいくぞ！
いいな！！","(Artemis)",,,"so you're going to work twice as hard now.
Got it?!"
68,"p180","〔４人〕","はーーーい","(All Four)",,,"Yeees."
69,"p182","〔マーズ〕","はあっ！！","(Mars)",,,"Hah!"
70,"p183","〔ジュピター〕","だあっ！！","(Jupiter)",,,"Dah!"
71,"p184","〔セーラームーン〕","やーーー！","(Sailor Moon)",,,"Yaaah!"
72,"p185","〔アルテミス〕","マーズ！　動きがおそいぞ　ヴィーナス！　キミもだ！","(Artemis)",,,"Mars, you're too slow!
That goes for you as well, Venus!"
73,"p186","〔マーズ〕","おーこわ、アルテミス
まだ、あれてるわ","(Mars)",,,"Whew.
Artemis is still mad at us."
74,"p187","〔ヴィーナス〕","へへー
悪いことはできないわねぇ","(Venus)",,,"Heheh.
I guess we had it coming."
75,"p188","〔セーラームーン〕","はあ…はあ…つかれたあ…","(Sailor Moon)",,,"*huff* *huff*
I-I'm so tired..."
76,"p189","〔アルテミス〕","ムダ口をたたくな！！","(Artemis)",,,"Quit wasting your breath!"
