10,"p014","〔まこと〕","えっ！？特訓？
今日これから？","(Makoto)","Huh?! Special training?!
Like, today?",,"Huh?! Special training?!
Like, today?"
11,"p015","〔レイ〕","そうなのよ、急に……勝手だと思わない？","(Rei)","Yeah, that's what he said.
He's so selfish.",,"Yeah, that's what he said.
He's so selfish."
12,"p016","〔美奈子〕","だから、アルテミスには悪いけど、","(Minako)","That's Artemis for you.",,"That's Artemis for you."
13,,"〔美奈子〕","知らんぷりしてさぼっちゃおー！　って話してたのよ","(Minako)","So here's the plan: we'll pretend we didn't know about it and go have some fun!",,"So here's the plan: we'll pretend we didn't know about it and go have some fun!"
14,"p017","〔うさぎ〕","あっ、でもそんじゃ亜美ちゃんもさそってあげなきゃ","(Usagi)","Oh, but we have to tell Ami+-chan++ too!",,"Oh, but we have to tell Ami-chan too!"
15,"p018","〔まこと〕","亜美ちゃんか、そういえばさっき会ったけど","(Makoto)","Ami+-chan++? Actually, I saw her earlier.",,"Ami-chan? Actually, I saw her earlier."
16,,"〔まこと〕","図書室に行くとか言ってたな","(Makoto)","She said she was going to the library.",,"She said she was going to the library."
17,"p019","〔美奈子〕","じゃ、まだ学校にいるのね","(Minako)","So, she's still at school.",,"So, she's still at school."
18,"p020","〔レイ〕","それじゃ話ははやいわ","(Rei)","Perfect.",,"Perfect."
19,,"〔レイ〕","もどって亜美ちゃんもさそいましょう！","(Rei)","Let's go back to school and ask Ami+-chan++ to join us!",,"Let's go back to school and ask Ami-chan to join us!"
20,"p021","〔うさぎ〕","え……？","(Usagi)","Uhhh...",,"Uhhh..."
21,"p022","〔レイ〕","どうしたの？","(Rei)","What's wrong?",,"What's wrong?"
22,"p023","〔うさぎ〕","いや……ちょっと……それは……まずい……な","(Usagi)","That, uhmm...
That might not be such a good idea...?",,"That, uhmm...
That might not be such a good idea...?"
23,"p024","〔三人〕","？","(All Three)","Huh?",,"Huh?"
24,"p025","〔うさぎ〕","だから……その……あの…","(Usagi)","Well...You see...",,"Well... You see..."
25,,,"追求する",,"Press the matter",,"Press the matter"
26,,,"様子を見る",,"Wait and see",,"Wait and see"
27,,,"ほっとく",,"Ignore",,"Ignore"
28,,"〔レイ〕","じゃ、だれか亜美ちゃんを呼びに行く？","(Rei)","Okay, who's going to go call Ami+-chan++?",,"Okay, who's going to go call Ami-chan?"
29,,"〔まこと〕","あたしたちの学校だから
あたしかうさぎちゃんが…","(Makoto)","It's our school, so either me or Usagi+-chan++―",,"It's our school, so either me or Usagi-chan―"
30,,"〔うさぎ〕","うわーっ！　ダメダメっ！","(Usagi)","No, not me!!",,"No, not me!!"
31,,"〔うさぎ〕","えーと、だから、その
あの、うーんと……","(Usagi)","Uhmm, it's just that, well...",,"Uhmm, it's just that, well..."
32,,"〔レイ〕","（なんだかこの子、いつにもましてヘンね？）","(Rei)","(Ugh. She's being even weirder than usual.)",,"(Ugh. She's even weirder than usual.)"
33,"p026","〔レイ〕","何よ、何かくしてるの？","(Rei)","Just spit it out already!",,"Just spit it already."
34,"p027","〔美奈子〕","そういえば、うさぎちゃん","(Minako)","Come to think of it, I thought I saw Naru+-chan++ waiting at the school gate.",,"Come to think of it,"
35,,"〔美奈子〕","校門のところでなるちゃんを見かけたけど、あれって","(Minako)",,,"I think I saw Naru-chan waiting at the school gate."
36,,"〔美奈子〕","うさぎちゃんを待ってたんじゃないの？","(Minako)","Was she waiting for you, Usagi+-chan++?",,"Was she waiting for you, Usagi-chan?"
37,"p028","〔うさぎ〕","げっ！！","(Usagi)","GEH!",,"Geh!"
38,"p029","〔レイ〕","どーやらそれに関係ありそうね……","(Rei)","Looks like you're on to something.",,"Looks like you're on to something."
39,,"〔うさぎ〕","なるちゃんには私なんかよりもっとステキな人が","(Usagi)","No...She's not waiting for me.",,"No... She's not waiting for me."
40,,"〔うさぎ〕","待ってるのよ！","(Usagi)","Naru+-chan++ is waiting for someone wonderful!",,"Naru-chan is waiting for someone wonderful!"
41,,"〔美奈子〕","だれ？　ステキな人って？","(Minako)","Someone wonderful, you say?",,"Someone wonderful, you say?"
42,,"〔うさぎ〕","その名は！","(Usagi)","His name is―!",,"His name is―!"
43,,"〔美奈子〕","その名は！？","(Minako)","His name is...?",,"His name is...?"
44,"p031","〔うさぎ〕","じゃーん！！
海野ぐりおくんでーす","(Usagi)","It's Gurio Umino+-kun++!",,"It's Gurio Umino-kun!"
45,"p032","〔３人〕","げっ……","(All Three)","Geh...",,"Geh..."
46,"p033","〔レイ〕","う…海野…くん？","(Rei)","U-Umino+-kun++...?",,"U-Umino-kun...?"
47,,"〔レイ〕","うさぎあんた、どっかおかしいんじゃないの？","(Rei)","Are you sure you're feeling alright, Usagi?",,"Are you sure you're feeling alright, Usagi?"
48,"p034","〔うさぎ〕","や、やーねー！　私にとって、じゃなくて","(Usagi)","Hey now! I didn't mean from MY perspective!",,"Hey now! I didn't mean from MY perspective!"
49,,"〔うさぎ〕","なるちゃんにとってステキな人ってことよん","(Usagi)","He's someone wonderful for NARU+-CHAN++!",,"He's someone wonderful for Naru-chan!"
50,"p035","〔レイ〕","何よそれ？","(Rei)","I don't get it.",,"I don't get it."
51,"p037","〔うさぎ〕","ええーっ？
まだ１回もないの？","(Usagi)","Say what?!
Not even ONCE?",,"Say what?!
Not even ONCE?"
52,"p038","〔ぐりお〕","そうなんですよぉ","(Gurio)","That's right...",,"That's right..."
53,,"〔ぐりお〕","うさぎさぁん。何かいい方法ないですかねぇ","(Gurio)","Usagi+-san++, please! Help me out!",,"Usagi-san, please! Help me out!"
54,,"〔ぐりお〕","なんとか、なるちゃんと一緒に帰る方法はないですか","(Gurio)","There has to be SOMETHING you can do so I can walk home with Naru+-chan++!",,"There has to be something that can be done so I could walk home with Naru-chan!"
55,,"〔うさぎ〕","海野……。学校からいっしょに帰るってえのは","(Usagi)","But Umino...Walking home from school together is what couples do...",,"But Umino... Walking home from school together"
56,,"〔うさぎ〕","恋人としての基本なのよ","(Usagi)",,,"is what couples do..."
