10,,"〔うさぎ〕","ホントよホント！","(Usagi)","I'm telling you, it's true!"
11,,"〔うさぎ〕","なるちゃんから
電話があったんだから！","(Usagi)","Naru+-chan++ told me over the phone!"
12,"p285","〔レイ〕","……信じられないわ。ネフライトは死んだのよ","(Rei)","...It's hard to believe. Nephrite is dead."
13,"p286","〔レイ〕","うさぎだって見たでしょ？","(Rei)","You saw it yourself, Usagi."
14,"p287","〔レイ〕","もしかしたらニセモノってこともありえるわ","(Rei)","It's possible that it's someone pretending to be him."
15,"p288","〔亜美〕","死んだ人間が存在するっていうのもおかしな話だし…","(Ami)","It's a fact that the dead cannot come back to life."
16,"p289","〔うさぎ〕","ちょ、ちょっとまってよ！何でそうなるのよ！？","(Usagi)","Wait a minute! Why do you have to be like that?!"
17,"p290","〔うさぎ〕","ネフライトは命がけで敵から逃げてきたのよ！","(Usagi)","Nephrite risked his life to get away from the enemy,"
18,"p291","〔うさぎ〕","銀水晶をねらっているヤツがいるって","(Usagi)","all so he could let me know that someone's after the Silver Crystal!"
19,,"〔うさぎ〕","わたしに教えるために！","(Usagi)",
20,"p292","〔うさぎ〕","……それにもしニセモノだとしても","(Usagi)","...Besides, no matter how convincing a faker might be,"
21,,"〔うさぎ〕","なるちゃんの目までは
ごまかせないハズよ","(Usagi)","there's no way he'd fool Naru+-chan++."
22,,"〔レイ〕","…………","(Rei)","......"
23,,"〔亜美〕","…………","(Ami)","......"
24,,"〔まこと〕","…………","(Makoto)","......"
25,,"〔美奈子〕","…………","(Minako)","......"
26,"p293","〔うさぎ〕","ねっ！　まこちゃんと美奈子ちゃんはどう思う？","(Usagi)","Mako+-chan++, Minako+-chan++, what do you think?"
27,"p294","〔まこと〕","どうって…あたしは、そのネフライトってのと会った","(Makoto)","I don't know what to say..."
28,,"〔まこと〕","ことないから、どんなヤツかわからないし……","(Makoto)","I've never actually met Nephrite.
I don't know what kind of person he is..."
29,"p295","〔美奈子〕","そもそも","(Minako)","Besides, who is this new enemy he ran away from, anyway?"
30,,"〔美奈子〕","その人が逃げ出してきた新しい敵って何者なの？","(Minako)",
31,"p296a","〔うさぎ〕","だからぁ、よくわかんないけど銀水晶をねらってて","(Usagi)","Look, I didn't really get all of it!"
32,"p296b","〔うさぎ〕","ベリルはダークキングダムを復活させようとしてて","(Usagi)","I just know that someone's after the Silver Crystal, Queen Beryl's Dark Kingdom is back,"
33,"p296c","〔うさぎ〕","ネフライトは必死でピンチなのよ！","(Usagi)","and Nephrite's in big trouble!"
34,,"〔４人〕","……？","(All Four)","...?"
35,"p297","〔ルナ〕","つまり、新たに銀水晶をねらう者がいて……","(Luna)","In other words, a new foe wants to obtain the Silver Crystal..."
36,"p298","〔ルナ〕","ダークキングダムのクインベリルと四天王をよみがえ","(Luna)","Thus, they've resurrected Queen Beryl and her +Shitennou+Four Heavenly Kings+ to use as pawns in their plan."
37,,"〔ルナ〕","らせ自らの配下においた","(Luna)",
38,"p299","〔ルナ〕","今のところ、そいつの正体は不明","(Luna)","We don't yet know the identity of this new threat,"
39,"p300","〔ルナ〕","銀水晶を使って何をしようとしているのかも不明","(Luna)","nor what they intend to do with the Silver Crystal."
40,"p301a","〔ルナ〕","うさぎちゃんがセーラームーンであることを知ってい","(Luna)","Since Nephrite is aware of Usagi+-chan++'s identity as Sailor Moon,"
41,,"〔ルナ〕","るネフライトは","(Luna)",
,,,,,
,,,"〔ルナ〕
",,"(Luna)"
,"p301b",,"そのことをいち早く知らせようと",,"he risked his life to leave their organization in order"
42,"p301b","〔ルナ〕","そのことをいち早く知らせようと","(Luna)","he risked his life to leave their organization in order to inform her of their plan as soon as possible."
,,,,,
44,,"〔ルナ〕","命がけで組織を抜け出してきた","(Luna)",
45,"p302","〔ルナ〕","なるちゃんの一件もあるしネフライトは","(Luna)","When you consider Naru+-chan++'s involvement,"
46,,"〔ルナ〕","もう充分に改心したんじゃないか……？","(Luna)","we can assume that Nephrite has turned over a new leaf..."
47,"p302a","〔ルナ〕","……と言いたいんでしょ？うさぎちゃんは","(Luna)","...is what Usagi+-chan++ is trying to say. Correct?"
48,"p303","〔うさぎ〕","そう！　そうなのよ！！","(Usagi)","Yeah, that's exactly it!"
49,"p304","〔アルテミス〕","すごいな、ルナ
よくわかったね","(Artemis)","I'm impressed you could glean all that, Luna."
50,"p305","〔ルナ〕","まあ、付き合いが長いからね……","(Luna)","Let's just say I've known her too long."
51,"p306","〔レイ〕","とにかく！　話ができすぎてるわ。信用できない","(Rei)","This is all too convenient. I don't trust him."
52,"p307","〔うさぎ〕","レイちゃん！！","(Usagi)","Rei+-chan++!"
53,"p308","〔美奈子〕","……どっちにしても","(Minako)","...Be that as it may,"
54,,"〔美奈子〕","その人は今なるちゃんの所にいるんでしょ？","(Minako)","he's at Naru+-chan++'s place right now, right?"
55,"p309","〔美奈子〕","敵が連れ戻しにくるかもしれないし、万一にそなえて","(Minako)","The enemy may attempt to get him back."
56,,"〔美奈子〕","見張りが必要ね","(Minako)","We should keep an eye on him. You never know."
57,"p315","〔うさぎ〕","もういい！！","(Usagi)","Ugh! WHATEVER!"
58,"p316","〔まこと〕","うさぎちゃん！","(Makoto)","Usagi+-chan++!"
