10,"p604","〔クインベリル〕","フフフフ…ハハハハハ…ハーッハッハッハッハッ…！","(Queen Beryl)","Heheheheh...Hahahahahah...
HAHAHAHAHAH!",,"Heheheheh... Hahahahahah... HAHAHAHAHAH!"
11,"p605","〔うさぎ〕","！！","(Usagi)","!!",,"! !"
12,"p606","〔亜美〕","！！","(Ami)","!!",,"! !"
13,"p607","〔レイ〕","！！","(Rei)","!!",,"! !"
14,"p608","〔美奈子〕","！！","(Minako)","!!",,"! !"
15,"p609","〔まこと〕","！！","(Makoto)","!!",,"! !"
16,"p610","〔クインベリル〕","すべての人間に告ぐ","(Queen Beryl)","Listen well, mortals.",,"Listen well, mortals."
17,"p611","〔クインベリル〕","今よりこの街をわれらが支配下におく","(Queen Beryl)","This city of yours belongs to us now.",,"This town of yours belongs to us now."
18,"p612","〔クインベリル〕","われらの名は
ダークキングダム！！","(Queen Beryl)","We are the Dark Kingdom!",,"We are the Dark Kingdom!"
19,"p615","〔人々〕","ザワザワ……ガヤガヤ……","(People)","*frightened chatter*",,"*frightened chatter*"
20,"p616","〔まこと〕","一体、何がどうなってるんだ？","(Makoto)","Just what are they doing?!",,"Just what are they doing?!"
21,"p617","〔ルナ〕","やつらは……","(Luna)","I think...",,"I think..."
22,,"〔ルナ〕","この街一帯を特殊な結界にふうじこめたのよ","(Luna)","They've sealed the entire city within a special boundary.",,"They've sealed the entire town within a special boundary."
23,"p618","〔美奈子〕","特殊な結界……？","(Minako)","A special boundary...?","METAL GEAR?!","A special boundary...?"
24,"p619","〔アルテミス〕","そう、４つのポイントを頂点とする特殊な結界……","(Artemis)","Yes. They've sealed the area enclosed by four specific points.",,"Yes. They've sealed the area enclosed between four specific points."
25,"p620","〔アルテミス〕","この中では、ありとあらゆるエナジーがうばいつくさ","(Artemis)","Now they're free to steal energy from anyone and anything within the boundary...",,"Now they're free to steal energy from anyone"
26,,"〔アルテミス〕","れてしまう……","(Artemis)",,,"and anything within the boundary..."
27,,"〔うさぎ〕","…………","(Usagi)","......",,"......"
28,"p621","〔亜美〕","光の柱があがったポイントは４つ……","(Ami)","There are four pillars of light...",,"There are four pillars of light..."
29,"p622","〔亜美〕","だいたいの座ひょうから、推測すると……","(Ami)","I should be able to estimate their coordinates.",,"I should be able to estimate their coordinates."
30,"p623","〔亜美〕","！！","(Ami)","*gasp*",,"*gasp*"
31,"p624","〔亜美〕","スイギョクの……扉……スイギョク……","(Ami)","The Emerald Gate...Emerald...!",,"The Emerald Gate... Emerald...!"
32,"p625","〔なる〕","きゃあ！！","(Naru)","Eeek!",,"Eeek!"
33,"p626","〔ぐりお〕","な……なるちゃん……","(Gurio)","N-Naru+-chan++...",,"N-Naru-chan..."
34,"p627","〔なる〕","……？","(Naru)","...?",,"...?"
35,"p628","〔クンツァイト〕","！！　黒水晶の一部が……かけている……？","(Kunzite)","A portion of the Black Crystal is missing...",,"A portion of the Black Crystal is missing..."
36,"p629","〔クインベリル〕","すておけ！
多少不完全ではあっても","(Queen Beryl)","No matter.
Even in its faulty state, our victory is all but assured.",,"No matter.
Even in its faulty state,"
37,,"〔クインベリル〕","われらの勝利にかわりはないわ。","(Queen Beryl)",,,"our victory is all but assured."
38,"p630","〔クインベリル〕","さあ、最後のしあげに
かかるぞ…","(Queen Beryl)","Now, for the final touches...",,"Now, for the final touches..."
39,,"〔うさぎ〕","……","(Usagi)","......",,"......"
40,"p631","〔うさぎ〕","ひどい……","(Usagi)","This is...cruel...",,"This is...cruel..."
41,,"〔レイ〕","……","(Rei)","......",,"......"
42,"p632","〔クインベリル〕","セーラー戦士よ……か弱き小娘たちよ……見ているか","(Queen Beryl)","Sailor +Senshi+Soldiers+...Feeble girls. Are you watching?",,"Sailor Senshi... Feeble girls. Are you watching?"
43,"p633a","〔クインベリル〕","……見ているだろうな……","(Queen Beryl)","...I know you are.",,"...I know you are."
44,"p633b","〔クインベリル〕","ごらんのとおり","(Queen Beryl)","As you can see, this city is entirely ours.",,"As you can see,"
45,,"〔クインベリル〕","今やこの街は完全にわれらが手におちた","(Queen Beryl)",,,"this town is completely ours."
46,"p634","〔ジェダイト〕","きさまらの出るマクはない","(Jadeite)","There is nothing you can do.",,"There is nothing you can do."
47,"p635","〔ネフライト〕","今度こそ、われらが勝利を手にするのだ","(Nephrite)","We have triumphed.",,"We have triumphed."
48,"p636","〔５人〕","（！！　あれは……）","(All Five)","(*gasp* Th-That's...!)",,"(*gasp* Th-That's...!)"
49,"p637","〔ゾイサイト〕","でも、それじゃあまりにもはりあいがないわね","(Zoisite)","Then again, it would be pretty boring without a challenge, wouldn't it?",,"Then again, it would be pretty boring without a challenge, wouldn't it?"
50,"p638","〔クンツァイト〕","きさまらに
チャンスをやろう","(Kunzite)","We will gift you with one chance.",,"We are going to give you a chance."
51,"p639","〔クンツァイト〕","一時間のユウヨをやる。その時間にわれらが立てた","(Kunzite)","You have one hour to destroy all of the monuments we've erected.",,"You have one hour to"
52,,"〔クンツァイト〕","モニュメントをすべてうちくだいてみせろ","(Kunzite)",,,"destroy all of the monuments we've erected."
53,"p640","〔クンツァイト〕","ただし……できればの話だがな。","(Kunzite)","...That is, if you can even accomplish that much.",,"That is, if you can even accomplish that much."
54,"p641","〔クンツァイト〕","きさまらに地獄を見せてやろう。ぞんぶんに…","(Kunzite)","Try as you like. Enjoy this taste of hell...",,"Try if you might. Enjoy this taste of hell..."
55,,"〔クンツァイト〕","フフフ…ハーッハッハッ…","(Kunzite)","Heheheh...Hahahahah!",,"Heheheh... Hahahahah!"
56,"p642","〔美奈子〕","一時間……みじかすぎるわ……","(Minako)",,,"One hour... It's way too short."
57,"p643","〔まこと〕","ワナだね、これは……","(Makoto)",,,"This is obviously a trap."
58,"p644","〔レイ〕","こっちは５人
モニュメントは５本","(Rei)",,,"There's five of us. One for each monument."
59,"p645","〔うさぎ〕","５本って…さっき光った場所は４ケ所しかなかったよ","(Usagi)",,,"What do you mean, five? There were only four pillars of light."
60,"p646","〔亜美〕","ええ、そのとおりよ
でもあの４本は結界を構成","(Ami)",,,"Yes, that's correct."
61,,"〔亜美〕","するたんなるパーツにすぎないわ。","(Ami)",,,"However, those four pillars are merely ""parts"" that make out the boundary."
62,"p647","〔亜美〕","それらの中心となるコアがかならずあるはず","(Ami)",,,"There must be a core at its center."
63,"p648","〔レイ〕","……コア！？","(Rei)",,,"A core?!"
64,"p649","〔亜美〕","ネフライトの最後にのこした言葉を思い出してみて。","(Ami)",,,"Remember Nephrite's parting words."
65,"p650","〔亜美〕","かれは『スイギョクの扉に気をつけろ』","(Ami)",,,"He asked us to"
66,,"〔亜美〕","といいのこした","(Ami)",,,"""watch out for the Emerald Gate""."
67,"p651","〔まこと〕","スイギョクの扉か……","(Makoto)",,,"The Emerald Gate, huh...?"
