142,,,,"(e483-e483e)","Naru waking up after fainting during the climax."
143,,,,"(e483f)","Naru reacting happily to something...and now very obviously drawn by a different artist."
144,,,,"(e484-e484d)","Naru hugging Umino after the battle."
145,,,,"(e492-e492a)","An unused scene of Past Wiseman during the ending:"
146,,,,"(e493, e495, e496)","These are unused lip flaps for the scrolling {Star Power} images in the ending."
147,,,,"(e510, e511, e517)","It also seems that several scenes in the ending were intended to scroll vertically."
148,,,,"(e510, e511, e517)","Note that the top and bottom halves don't meet evenly. That's just how they are."
149,,,,"(e520-e520a)","Some additional facial expressions for Naru in the ending:"
150,,,,"(e523-e523c)","An animation of Naru swinging her bag:"
151,,,,"(e524-e524c)","Usagi and Naru walking:"
152,,,,"(e532-e532a)","Unused lip flaps for Naru's angry response to Usagi's teasing:"
153,,,,"(e533-e533a, e534)","An additional, mostly-finished scene for the ending."
154,,,,"(e533-e533a, e534)","This was intended to more smoothly introduce the other +Senshi+Soldiers+ into the scene, like so:"
155,,,,"(e533-e533a, e534)","The first shot was probably meant to scroll into the second."
156,,,,"(e533-e533a, e534)","Since the scene isn't finished, the images' palettes aren't compatible, so we can't actually do that here."
157,,,,"(e546a, e547a)","Unused lip flaps for Usagi's close-ups in the ending:"
158,,,,"(e553)","The game contains unfinished versions of each +Senshi+Soldier+'s attacks."
159,,,,"(e553)","These (mostly) lack the special effects found in the finished versions."
160,,,,"(e553)","Note that a handful of these frames actually are used for the final animations."
161,,,,"(e554)",
162,,,,"(e555)",
163,,,,"(e556)",
164,,,,"(e557)",
165,,,,"(e558)",
166,,,,"(e559)",
167,,,,"(e560)",
168,,,,"(e561)",
16801,,,,"(e1446)","Also, this very last frame of the Moon Princess Halation animation isn't used for some reason."
169,,,,"(Message)","And with that, we finally close out the Usagi route!"
170,,,,"(Message)","The other characters have far less unused material, but there's still plenty to go."
171,,,,"(Message)","Next up, Ami."
172,,,,"(e618)","Shot of Zoisite looking down on Mercury from his monument."
173,,,,"(e627)","Close-up of Zoisite during the battle with Mercury."
174,,,,"(e632b)","The left part of the graphic for Zoisite's beam attack, showing...well, the actual attack."
175,,,,"(e635)","Mercury jumping (alighting?) during the Zoisite fight."
176,,,,"(e680g)","Mercury reacting to Zoisite's saber attack (probably)."
177,,,,"(e705-e705a)","An additional talking animation for Naru when Ami questions her at the school gate."
178,,,,"(e708b-e708c)","Probably intended for Ami's {Shouldn't we stop him now?} line."
179,,,,"(e725)","A different, and frankly better-looking, shot of Mercury after leaving the digital world."
180,,,,"(e725)","Here's the used shot, for comparison."
181,,,,"(Message)","And that's all for Ami. Now for Rei's handful of unused images:"
182,,,,"(e1144)","These are some additional shots for Rei's approach to Jadeite."
183,,,,"(e1146)","Jadeite poses before his monument..."
184,,,,"(e1146a)","...and Rei approaches."
185,,,,"(e1162-e1162a)","Unused lip flaps."
186,,,,"(Message)","That concludes Rei's route. Yep."
187,,,,"(Message)","Now for Makoto."
188,,,,"(e807b, e807c)","Shot of Makoto and the delinquents. Almost the same as the used version, with slightly different colors."
189,,,,"(e807b, e807c)","Has two frames, both of which are identical."
190,,,,"(e807d)","Kiyomi peering out from behind Makoto."
191,,,,"(e807d)","This and several other unused pictures show Kiyomi with brown hair,"
192,,,,"(e807d)","suggesting her hair color was changed toward the end of development."
193,,,,"(e814b)","Unused and unfinished extra frame of Kiyomi gazing after Makoto as she leaves."
194,,,,"(e816)","Makoto skidding to a halt, probably after arriving at the school to look for Ami."
195,,,,"(e824c-e824d)","An extra animation of Ami during her conversation with Makoto. In used shots, she's holding her book."
196,,,,"(e833d-e833g)","Makoto's walking animation shown from the waist down."
197,,,,"(e834)","An extra shot of Makoto looking at Kiyomi's letter."
198,,,,"(e835e-e835f)","Two duplicate frames of a used shot of Makoto looking at the letter."
199,,,,"(e835e-e835f)","Not particularly interesting, but they suggest an additional animation was planned and scrapped."
200,,,,"(e835e-e835f)","Perhaps Makoto was going to react more visibly during her exclamation at the end of the scene."
201,,,,"(e836b)","One of several unused shots of Makoto and Kiyomi on the park bench."
202,,,,"(e836b)","This one differs from a used image only by coloring Kiyomi's hair a slightly brighter shade of pink."
203,,,,"(e836d)","This more interesting shot has Kiyomi putting her head on Makoto's shoulder."
204,,,,"(e838a)","An extra scene of Makoto accepting Kiyomi's cookies..."
205,,,,"(e838b)","...and reacting poorly to them."
206,,,,"(e839d)","An unused frame of Balm EX's {taunt} animation. Probably left out by accident."
207,,,,"(e841a-e841b)","Jupiter with her mouth open and radiating emphasis lines. The used version has her mouth closed."
20701,,,,"(e1313)","Kiyomi sitting on a water fountain...for some reason? And of course, she has brown hair again here."
208,,,,"(e867)","The right half of a shot from the Dark Kingdom takeover scene."
209,,,,"(e867)","Only the left half, focusing on Jupiter specifically, is used."
210,,,,"(Message)","That's all for Makoto. Last is Minako, who happens to have the second most unused images after Usagi."
211,,,,"(e901)","Minako at the start of her route, thinking she's overslept."
212,,,,"(e903a)","{Don't SCARE me like that, Artemis.}"
213,,,,"(e912)","Minako antagonizing Artemis by pointing out a fake ghost at Dream Land."
214,,,,"(e917)","These images are for an unused scene before Minako and Artemis search the final area of Dream Land."
215,,,,"(e917)","After giving up the initial search, we see the top of the castle at Dream Land..."
216,,,,"(e917a)","...then shift down to a view of Minako and Artemis on a bench."
217,,,,"(e918)","Someone reacting in surprise...I guess. Seems like the rest of the scene wasn't drawn."
218,,,,"(e918)","Most likely, Minako was supposed to hear a noise, think it was the {ghost}, and then go to investigate."
219,,,,"(e918)","In the finished game, Artemis simply justifies it with {we haven't checked this area yet}."
