10,,"〔うさぎ〕","ホントよホント！","(Usagi)","I'm telling you, it's true!",,"I'm telling you, it's true!"
11,,"〔うさぎ〕","なるちゃんから
電話があったんだから！","(Usagi)","Naru+-chan++ told me over the phone!",,"Naru-chan told me over the phone!"
12,"p283","〔うさぎ〕","ホントよホント！","(Usagi)","I'm telling you, it's true!",,"I'm telling you, it's true!"
13,"p284","〔うさぎ〕","この目でバーッチリ見てきたんだから、ね！　だから","(Usagi)","I saw it with my own eyes!",,"I saw it with my own eyes!"
14,"p285","〔レイ〕","……信じられないわ。ネフライトは死んだのよ","(Rei)","...It's hard to believe. Nephrite is dead.",,"...It's hard to believe. Nephrite is dead."
15,"p286","〔レイ〕","うさぎだって見たでしょ？","(Rei)","You saw it yourself, Usagi.",,"You saw it yourself, Usagi."
16,"p287","〔レイ〕","もしかしたらニセモノってこともありえるわ","(Rei)","It's possible that it's someone pretending to be him.",,"It's possible that it's someone pretending to be him."
17,"p288","〔亜美〕","死んだ人間が存在するっていうのもおかしな話だし…","(Ami)","It's a fact that the dead cannot come back to life.",,"It's a fact that the dead cannot come back to life."
18,"p289","〔うさぎ〕","ちょ、ちょっとまってよ！何でそうなるのよ！？","(Usagi)","Wait a minute! Why do you have to be like that?!",,"Wait a minute! Why does it have to be that way?!"
19,"p290","〔うさぎ〕","ネフライトは命がけで敵から逃げてきたのよ！","(Usagi)","Nephrite risked his life to get away from the enemy,",,"Nephrite risked his life to get away from the enemy,"
20,"p291","〔うさぎ〕","銀水晶をねらっているヤツがいるって","(Usagi)","all so he could let me know that someone's after the Silver Crystal!",,"so he could let me know that someone's after the"
21,,"〔うさぎ〕","わたしに教えるために！","(Usagi)",,,"Silver Crystal!"
22,"p292","〔うさぎ〕","それに、もしニセモノだとしても","(Usagi)","...Besides, no matter how convincing a faker might be,",,"...Besides, no matter how convincing a faker might be,"
23,,"〔うさぎ〕","なるちゃんの目までは
ごまかせないハズよ","(Usagi)","there's no way he'd fool Naru+-chan++.",,"there's no way he'd fool Naru-chan."
24,,"〔レイ〕","…………","(Rei)","......",,"......"
25,,"〔亜美〕","…………","(Ami)","......",,"......"
26,,"〔まこと〕","…………","(Makoto)","......",,"......"
27,,"〔美奈子〕","…………","(Minako)","......",,"......"
28,"p293","〔うさぎ〕","ねっ！　まこちゃんと美奈子ちゃんはどう思う？","(Usagi)","Mako+-chan++, Minako+-chan++, what do you think?",,"Mako-chan, Minako-chan, what do you think?"
29,"p294","〔まこと〕","どうって…あたしは、そのネフライトってのと会った","(Makoto)","I don't know what to say...",,"I don't know what to say..."
30,,"〔まこと〕","ことないから、どんなヤツかわからないし……","(Makoto)","I've never actually met Nephrite.
I don't know what kind of person he is...",,"I've never actually met Nephrite.
I don't know what kind of person he is..."
31,"p295","〔美奈子〕","そもそも","(Minako)","Besides, who is this new enemy he ran away from, anyway?",,"Besides,"
32,,"〔美奈子〕","その人が逃げ出してきた新しい敵って何者なの？","(Minako)",,,"who is this new enemy he ran away from, anyway?"
33,"p296a","〔うさぎ〕","だからぁ、よくわかんないけど銀水晶をねらってて","(Usagi)","Look, I didn't really get all of it!",,"Look, I didn't really get all of it!"
34,"p296b","〔うさぎ〕","ベリルはダークキングダムを復活させようとしてて","(Usagi)","I just know that someone's after the Silver Crystal, Queen Beryl's Dark Kingdom is back,",,"I just know that someone's after the Silver Crystal,
Queen Beryl's Dark Kingdom's back,"
